cnpj_basico;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte_empresa;ente_federativo_responsavel
46087328;D DE SOUSA LEAO GRAOS;2135;50;10000000.0;03;
46087479;SG E G ADMINISTRACAO LTDA.;2062;49;2005438.0;03;
46087960;MALTH AGRONEGOCIOS LTDA;2062;49;11632300.0;03;
46090574;EDIFICIO RESIDENCIAL DONA CELEIDA SPE LTDA;2062;05;3939026.98;03;
46091990;46.091.990 LTDA;2062;49;999999999999.0;03;
46108109;46.108.109 LTDA;2062;49;999999999999.0;03;
46108557;TOLEDO ADMINISTRADORA DE BENS LTDA;2062;49;4186832.0;03;
46110087;TITANIUM SEGURANCA E VIGILANCIA PRIVADA LTDA;2062;49;2400000.0;03;
46110581;JC - PARTICIPACOES E ADMINISTRACAO LTDA;2062;05;2035000.0;03;
46115354;AGROPECUARIA KAEMPF LTDA;2062;49;7000000.0;03;
46123496;GRUPO FOLETTO CONDOR/RS LTDA.;2062;49;8139427.0;03;
46132456;G. NOGUEIRA RAMOS LTDA;2062;49;5700000.0;03;
46143802;RR INCORPORADORA E CONSTRUTORA LTDA;2062;49;3000000.0;03;
46143863;FRIG FRIGORIFICO INDUSTRIAL GUARARAPES LTDA;2062;05;3045000.0;03;
46147374;DEZ CERVEJARIA LTDA;2062;49;2865556.0;03;
46147787;LGM EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;6000000.0;03;
46150899;NORTON LTDA;2062;49;3000000.0;03;
46154250;INTERLOC EMPREENDIMENTOS LTDA;2062;49;2300000.0;03;
46155635;AGROVERDES GRAOS PARTICIPACAO LTDA;2062;49;26691950.0;03;
46157226;W. CRISTAL ADMINISTRACAO DE BENS LTDA.;2062;49;4655600.0;03;
46158042;FRANQUIA BH BRASIL LTDA;2062;49;5000000.0;03;
46160911;46.160.911 LTDA;2062;49;999999999999.0;03;
46166049;AS BUILT ENGENHARIA LTDA;2062;49;2500000.0;03;
46166373;BLACK DIAMOND EMPREENDIMENTOS E PARTICIPACOES LTDA;2062;49;5000000.0;03;
46166605;GLOBAL HOLDING LTDA;2062;49;10000000.0;03;
46169775;YCASAS 02 ALPHA DP3 INCORPORACAO E CONSTRUCAO SPE LIMITADA;2062;49;2547312.0;03;
46170894;L M GOMES CEREAIS;2135;50;10000000.0;03;
46171403;UNICA HOSPITAL DIA LTDA;2062;49;8019884.1;03;
46171424;GABIOSAN SERVICOS LTDA;2062;49;4000000.0;03;
46173861;VISIO SERVICOS DE TECNOLOGIA LTDA;2062;05;9000000.0;03;
46179838;FLASH SOLAR LTDA;2062;49;2200000.0;03;
46183669;AGOMES203 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;2062;49;3050000.0;03;
46186484;J G DE F GIASSI LTDA;2062;49;5000000.0;03;
46187264;NR EMPREENDIMENTOS LTDA;2062;49;10577832.0;03;
46192840;BRANDAL ADMINISTRADORA DE BENS LTDA;2062;49;3000000.0;03;
46193085;UNICA DISTRIBUICAO DE PRODUTOS E TERCEIRIZACAO DE SERVICOS LTDA;2062;49;6500000.0;03;
46193721;SANTOS & SANTOS E ASSOCIADOS LTDA;2062;49;5952000.0;03;
46194137;FISTAROL AGROPECUARIA LTDA;2062;49;72701590.0;03;
46196236;B G MANAGEMENT I LTDA;2062;49;3349573.0;03;
46197831;GOES ADMINISTRADORA DE IMOVEIS LTDA;2062;49;2275000.0;03;
46198205;PIRES E MARQUES ADMINISTRADORA DE IMOVEIS LTDA;2062;49;2072223.16;03;
46203130;E H SILVA GESTAO E PARTICIPACOES LTDA;2062;05;8307110.0;03;
46204554;SANTA CATARINA DRAGAGEM LTDA;2062;49;6050000.0;03;
46208322;AMC AGROPECUARIA LTDA.;2062;49;4830000.0;03;
46208539;MCB ADMINISTRADORA LTDA;2062;05;5665302.0;03;
46210436;46.210.436 LTDA;2062;49;999999999999.0;03;
46210516;46.210.516 LTDA;2062;49;999999999999.0;03;
46210607;46.210.607 LTDA;2062;49;999999999999.0;03;
46218762;SOUZA E COSTA AGRONEGOCIO LTDA.;2062;05;2276000.0;03;
46220195;ALAMEDAS CAUCAIA LTDA;2062;05;3815516.0;03;
46221107;LITO PALACE HOTEL LTDA;2062;49;2800000.0;03;
46223532;PARANA EMPREENDIMENTOS LTDA;2062;49;6000000.0;03;
46225987;GRUPO FOLETTO CATUIPE/RS LTDA.;2062;49;7893762.0;03;
46230857;SEGUNDO AGRONEGOCIOS LTDA;2062;49;3645840.0;03;
46231872;A L AGRONEGOCIOS LTDA;2062;49;3650000.0;03;
46236053;C5S EMPREENDIMENTOS E PARTICIPACOES LTDA;2062;49;2124951.0;03;
